id,First Name,Last Name,Gender,Amount
282,Elizabeth,Olson,F,12438.2
283,Roy,Willis,M,2083.8
284,Eric,Wells,M,11625.5
285,Carol,Gilbert,F,3441.9
286,Angela,Perry,F,1133.5
287,Judy,Chavez,F,7172.6
288,Kenneth,Collins,M,8778.0
289,Howard,Fernandez,M,5320.7
290,Arthur,Mills,M,3358.6
291,Diana,George,F,11199.9
292,Julia,Ellis,F,16862.2
293,Carolyn,Turner,F,5255.6
294,Ralph,Ford,M,2093.1
295,Todd,Wright,M,9014.7
296,Norma,Russell,F,6266.4
297,Scott,Nelson,M,9719.5
298,Harry,Bailey,M,13355.4
299,Judy,Castillo,F,6674.6
300,Annie,Baker,F,347.1
301,Louise,Bell,F,4714.5
302,Martha,Howard,F,2863.0
303,Kevin,Cole,M,4438.5
304,Theresa,Romero,F,7352.2
305,David,Robinson,M,12373.1
306,Cynthia,Porter,F,9926.3
307,Laura,Kim,F,12576.4
308,Julia,Rice,F,17679.5
309,Eric,Stewart,M,11839.6
310,Diane,Richardson,F,889.2
311,Frank,Payne,M,16795.0
312,Raymond,Lopez,M,18581.0
313,Paula,Wheeler,F,17439.9
314,Mildred,Collins,F,14403.7
315,Daniel,Cruz,M,16282.6
316,Billy,White,M,5513.9
317,Robert,Frazier,M,17475.7
318,Frances,Day,F,723.7
319,Wanda,Harvey,F,17746.7
320,Harry,Stephens,M,18466.0
321,Victor,Gardner,M,5458.8
322,Kathleen,Webb,F,4673.6
323,Sara,Kim,F,12574.1
324,Justin,Armstrong,M,8189.6
325,Brian,Frazier,M,2783.7
326,Jerry,Sims,M,6697.5
327,Peter,Wilson,M,4737.5
328,Annie,Cunningham,F,16055.9
329,Beverly,Fuller,F,1905.8
330,Henry,Warren,M,13530.0
331,Donna,Kelley,F,16741.0
332,Stephen,Olson,M,13894.8
333,Debra,Brooks,F,3494.8
334,Wanda,Wright,F,17720.7
335,Ruby,Garza,F,14855.8
336,Marie,Garrett,F,463.3
337,Phillip,Mcdonald,M,17128.1
338,Billy,Stevens,M,9608.3
339,Victor,Spencer,M,9707.3
340,Louis,Pierce,M,16436.7
341,Jose,James,M,7303.0
342,Lawrence,Willis,M,4665.0
343,Stephanie,Ross,F,11811.0
344,Amy,Peters,F,6796.8
345,Richard,Butler,M,12668.0
346,Earl,Sullivan,M,4602.0
347,Jacqueline,Taylor,F,6113.0
348,Joe,Wood,M,9038.0
349,Kathryn,Evans,F,9374.8
350,Roy,Webb,M,17122.4
351,Joshua,Howell,M,950.8
352,Earl,Bishop,M,13196.9
353,Ronald,Weaver,M,12852.4
354,Jimmy,Brown,M,831.0
355,Peter,Sanders,M,1276.8
356,Janet,Williams,F,16880.6
357,Janet,Peters,F,9120.9
358,Donald,Castillo,M,9944.6
359,Carol,Brooks,F,18918.0
360,Helen,Gonzalez,F,13525.0
361,Joyce,Palmer,F,3.4
362,Juan,Fowler,M,15194.9
363,Mary,Vasquez,F,16039.6
364,Mary,Berry,F,8682.7
365,Martin,Henderson,M,3275.1
366,Jacqueline,Vasquez,F,5556.7
367,Lillian,Thompson,F,18584.9
368,Antonio,Fowler,M,13059.3
369,Evelyn,Fields,F,4157.7
370,Carol,Alvarez,F,16499.8
371,Andrea,Romero,F,14908.5
372,Richard,Henderson,M,12488.0
373,William,Russell,M,2218.6
374,Shirley,Griffin,F,16473.0
375,Gregory,Ellis,M,3437.1
376,Ernest,Snyder,M,4768.1
377,Lois,Crawford,F,16006.5
378,Mark,Peterson,M,8330.5
379,David,Flores,M,10392.5
380,Lisa,Carpenter,F,2838.0
381,Jesse,Fox,M,912.9
382,Lawrence,Jackson,M,17639.8
383,Lisa,Sims,F,2911.4
384,Philip,George,M,18267.2
385,Thomas,Hawkins,M,7409.3
386,Joshua,Edwards,M,16197.8
387,Victor,Perry,M,7042.8
388,Janet,Anderson,F,346.1
389,Jesse,Lee,M,12287.6
390,Aaron,Cook,M,10060.5
391,James,Mills,M,10718.3
392,Jean,Cooper,F,12183.4
393,Steve,Patterson,M,14795.1
394,Nancy,Ramos,F,7266.0
395,Jack,Scott,M,6352.8
396,Christine,Rodriguez,F,18284.4
397,Evelyn,Simpson,F,9569.4
398,Margaret,Harrison,F,18461.9
399,Johnny,Cox,M,5720.7
400,Shirley,Lawson,F,11306.9
401,Richard,Cooper,M,18268.3
402,Jack,Gray,M,5985.3
403,Linda,Ross,F,14325.9
404,Angela,Gutierrez,F,7346.2
405,George,Banks,M,15777.8
406,Jennifer,Wells,F,11487.0
407,Kimberly,Hughes,F,9133.0
408,Carl,Garrett,M,19651.0
409,Theresa,Parker,F,14316.6
410,Gerald,Stewart,M,2644.5
411,Barbara,Wells,F,1599.7
412,Chris,Wallace,M,1886.4
413,Matthew,Ortiz,M,9833.7
414,Denise,Chapman,F,6908.3
415,Bobby,Burns,M,13865.7
416,Scott,Martin,M,17274.7
417,Benjamin,Hunter,M,8748.3
418,Andrea,Vasquez,F,11393.2
419,Roy,Gibson,M,19643.4
420,Gary,Reyes,M,8716.1
421,Annie,Shaw,F,12134.4
422,Lillian,Porter,F,12377.1
423,Ryan,Nguyen,M,11484.2
424,Robin,Woods,F,3576.8
425,Walter,Fuller,M,847.9
426,Earl,Burke,M,8987.2
427,Kathy,Ward,F,13181.3
428,Beverly,Burke,F,3711.8
429,Christine,Ford,F,17238.0
430,Earl,Woods,M,3113.3
431,Melissa,Sullivan,F,17813.4
432,Dennis,Scott,M,6355.6
433,Shawn,Price,M,8559.8
434,Billy,Perkins,M,10320.9
435,Philip,Gilbert,M,16261.8
436,Sharon,Dunn,F,11673.1
437,Roger,Gutierrez,M,12960.8
438,Kenneth,Taylor,M,427.3
439,Sharon,Howard,F,15945.8
440,Frank,Marshall,M,3244.0
441,Katherine,Wheeler,F,19987.4
442,Ann,Bradley,F,1761.9
443,Edward,Henderson,M,3101.5
444,Douglas,Gray,M,2202.8
445,Alan,Harvey,M,15332.6
446,Cheryl,Watkins,F,17666.8
447,Jerry,Fernandez,M,19301.0
448,Lawrence,Rose,M,17213.5
449,Ruby,Morris,F,1024.8
450,Virginia,Richards,F,11910.6
451,Jesse,Scott,M,3784.2
452,Todd,Reyes,M,1229.6
453,Wayne,Howard,M,10443.7
454,Doris,Harris,F,18762.8
455,Andrea,Martin,F,10574.7
456,Clarence,Rivera,M,15599.2
457,Joan,Lawrence,F,14120.0
458,Annie,Hughes,F,6438.2
459,Randy,Watson,M,15310.1
460,William,Morris,M,18880.6
461,Sara,Burton,F,600.7
462,Patrick,Gomez,M,15073.2
463,Patricia,Howell,F,3643.8
464,Jerry,Diaz,M,4715.1
465,Roy,Stevens,M,13155.1
466,Lillian,Palmer,F,12893.2
467,Terry,Barnes,M,10202.8
468,Karen,Gutierrez,F,7414.8
469,George,Marshall,M,2950.1
470,Linda,Lane,F,13094.6
471,Stephen,Diaz,M,10308.3
472,Marilyn,Jenkins,F,11533.5
473,Theresa,Andrews,F,7752.7
474,Wayne,Nguyen,M,17334.8
475,Timothy,Hart,M,5772.3
476,Kathleen,Palmer,F,274.9
477,Nancy,Robinson,F,6612.4
478,Stephen,Phillips,M,12719.8
479,Deborah,Ross,F,18262.4
480,Julia,Gonzalez,F,15666.4
481,Rebecca,Simpson,F,10400.4
482,Keith,Grant,M,11528.9
483,Victor,Tucker,M,5128.9
484,Joan,Patterson,F,14703.0
485,Bonnie,Sullivan,F,6964.3
486,Angela,Warren,F,5483.3
487,Daniel,Cunningham,M,9156.4
488,Jerry,Peters,M,7859.3
489,Janice,Kim,F,502.7
490,Helen,Garza,F,18533.5
491,Steve,Kelley,M,5711.8
492,Martha,Stevens,F,114.6
493,Kathryn,Harvey,F,18882.4
494,Amanda,Simpson,F,11213.5
495,Thomas,Medina,M,12689.5
496,Ruby,Peterson,F,9611.6
497,Andrea,Garcia,F,8925.8
498,Christine,Martinez,F,18506.4
499,Ruby,Gray,F,9847.5
500,Linda,Fisher,F,9565.3
501,Amy,Sullivan,F,5610.6
502,Shirley,Cruz,F,1104.0
503,Gerald,Mason,M,6118.3
504,Martin,Washington,M,6072.0
505,Kelly,Price,F,10781.9
506,Jean,Lawrence,F,17405.4
507,Juan,Owens,M,14923.1
508,Alice,Bailey,F,5228.8
509,Patrick,Hansen,M,15379.6
510,Lori,Mason,F,2483.5
511,Joe,King,M,10365.9
512,Peter,Castillo,M,18527.0
513,Phyllis,Lawson,F,6865.2
514,Tammy,Barnes,F,12830.1
515,William,Garza,M,13562.9
516,Howard,Sullivan,M,11062.3
517,Nicholas,Hansen,M,5972.9
518,Paula,Gordon,F,11478.8
519,Scott,Burke,M,7916.4
520,Shawn,Gardner,M,3553.3
521,Harry,Fisher,M,5841.4
522,Virginia,Jordan,F,3854.4
523,William,Phillips,M,4185.2
524,Karen,Sanchez,F,1838.6
525,Jean,Lawson,F,7288.5
526,Shawn,Knight,M,10411.2
527,Edward,Harrison,M,15557.3
528,Teresa,Ward,F,13448.0
529,Jacqueline,Franklin,F,13042.8
530,Sean,Wallace,M,7824.3
531,Philip,Walker,M,17270.5
532,David,Simpson,M,458.1
533,Philip,Howard,M,10315.2
534,Lawrence,Mcdonald,M,15828.7
535,Alan,Wallace,M,15621.6
536,Ruth,Richardson,F,7036.9
537,Michael,Phillips,M,15964.6
538,Lisa,Griffin,F,10905.9
539,Antonio,Gomez,M,16220.2
540,Marilyn,Foster,F,18638.1
541,Stephanie,Burns,F,15945.6
542,Sara,Sims,F,13926.8
543,Virginia,Larson,F,13719.2
544,Margaret,Hunt,F,4138.5
545,Ernest,Marshall,M,10488.1
546,Carolyn,Ryan,F,19366.7
547,Ernest,Jones,M,9292.0
548,Barbara,Weaver,F,10803.9
549,Nicole,Willis,F,14914.0
550,Victor,Chavez,M,19384.8
551,Larry,Martinez,M,19877.7
552,Kathryn,Hawkins,F,2522.5
553,Richard,Hawkins,M,6535.3
554,Harry,Mitchell,M,7817.9
555,Benjamin,Porter,M,708.1
556,Jimmy,Gray,M,14048.0
557,Louise,Gutierrez,F,10185.0
558,Adam,Weaver,M,29.3
559,Marie,Harvey,F,15432.0
560,Lawrence,Austin,M,14873.6
561,Bobby,Day,M,185.7
562,Shawn,Larson,M,1344.4
563,Justin,Hudson,M,12799.9
564,Steve,Myers,M,4344.3
565,Julia,Simmons,F,17990.2
566,Todd,Duncan,M,2545.2
567,Angela,Rodriguez,F,10412.1
568,Gregory,Cox,M,17949.8
569,Roy,Hayes,M,451.6
570,Steve,Chavez,M,12396.2
571,Shawn,Watson,M,8219.7
572,Robin,Ramos,F,18144.3
573,Charles,Perkins,M,3407.3
574,Alice,Warren,F,9678.8
575,Judith,Shaw,F,2903.0
576,Henry,Anderson,M,4318.8
577,Julia,Lawson,F,2939.8
578,Jeffrey,Alexander,M,11582.3
579,Cynthia,Bailey,F,19760.5
580,Jonathan,Rodriguez,M,661.2
581,Anne,Perez,F,7685.1
582,Doris,Ford,F,19314.5
583,Lois,Williams,F,8309.0
584,Nancy,Williamson,F,16632.3
585,Fred,Gardner,M,5685.0
586,Angela,Morgan,F,18570.4
587,Joyce,Harper,F,8800.6
588,Jose,Dixon,M,928.8
589,Russell,Pierce,M,18254.4
590,Heather,Frazier,F,10947.4
591,Maria,Stevens,F,6734.9
592,Arthur,Woods,M,7351.6
593,George,Butler,M,562.7
594,Rose,Howell,F,14502.2
595,Lawrence,Shaw,M,1414.9
596,Phillip,Richardson,M,8669.9
597,Frances,Williams,F,18067.9
598,Ernest,Stanley,M,12691.5
599,Patricia,Wheeler,F,18507.1
600,Larry,Freeman,M,4773.5
601,Todd,Wheeler,M,3578.3
602,Daniel,Walker,M,14077.2
603,Kathy,Barnes,F,12133.2
604,Helen,Stone,F,14353.6
605,Eugene,Alvarez,M,5037.2
606,Kenneth,Burke,M,4728.5
607,Elizabeth,Porter,F,667.0
608,Patrick,Frazier,M,18885.0
609,Lisa,Harvey,F,20.4
610,Paul,Green,M,1163.7
611,Jimmy,Martin,M,12042.1
612,Tammy,Mccoy,F,2615.9
613,Frances,Rice,F,17130.7
614,Harry,Henderson,M,4418.0
615,Bruce,Lynch,M,8354.5
616,John,Reid,M,5261.3
617,Martin,Austin,M,16070.4
618,Angela,Graham,F,11308.3
619,Barbara,Bell,F,10940.0
620,Larry,Thompson,M,5165.1
621,Ronald,Wheeler,M,3824.1
622,Jason,Schmidt,M,9615.0
623,Judith,Chapman,F,17876.8
624,Juan,Powell,M,2922.9
625,Bobby,Weaver,M,6649.3
626,George,Kelley,M,6966.5
627,Heather,Rodriguez,F,11393.6
628,Clarence,Martin,M,18709.8
629,Joe,Bowman,M,14386.5
630,Julia,Wood,F,13515.9
631,Christine,Romero,F,15715.4
632,Judith,Bishop,F,18980.8
633,Ann,Clark,F,19899.6
634,Betty,Boyd,F,17372.9
635,Andrea,George,F,2727.8
636,Amanda,Armstrong,F,14044.8
637,Steve,Williams,M,1849.6
638,Helen,Payne,F,2957.9
639,William,Hernandez,M,9759.9
640,Ryan,Burton,M,14207.3
641,Deborah,Dean,F,14108.9
642,Samuel,Sanchez,M,4677.3
643,Brian,Gordon,M,5455.4
644,Chris,Spencer,M,943.1
645,Aaron,Vasquez,M,19480.8
646,Dorothy,Wright,F,12762.6
647,Earl,Gomez,M,14140.5
648,Louis,Russell,M,10337.6
649,Janet,Austin,F,4300.4
650,Ruth,Butler,F,17951.0
651,Mark,Perkins,M,11339.1
652,Mary,Harper,F,4553.2
653,Nicole,Ross,F,1851.0
654,Frances,Hall,F,5785.0
655,Larry,Moreno,M,13174.9
656,Keith,Harvey,M,8999.7
657,Christina,Kelly,F,6689.5
658,Eric,Andrews,M,16836.9
659,Laura,Kelly,F,1822.8
660,Gregory,Sanders,M,5902.0
661,Benjamin,Kelly,M,2630.1
662,Jesse,Robertson,M,10619.1
663,Joshua,Nelson,M,18604.1
664,Beverly,Wright,F,8538.1
665,Teresa,Gray,F,12260.5
666,Amanda,Reynolds,F,841.9
667,Gerald,Romero,M,1788.4
668,Jason,Greene,M,10377.2
669,Sharon,Ramos,F,4706.7
670,Robin,Butler,F,109.2
671,Clarence,Ross,M,14780.5
672,Barbara,Arnold,F,3939.1
673,Paula,Day,F,15950.6
674,Catherine,Evans,F,19798.8
675,Maria,Taylor,F,11227.3
676,Fred,Burke,M,5304.0
677,Jeffrey,Porter,M,12051.1
678,Robin,Hunt,F,536.9
679,Juan,George,M,7533.2
680,Katherine,Gordon,F,13381.3
681,Heather,Sims,F,1329.6
682,Lillian,Rogers,F,16875.8
683,Jennifer,Morris,F,18176.1
684,Debra,Davis,F,15125.9
685,Harold,Lynch,M,11112.5
686,Roy,Stanley,M,15189.5
687,Jose,Cook,M,17135.8
688,Dennis,Scott,M,8882.4
689,Evelyn,Cruz,F,14159.6
690,Tammy,Thomas,F,4963.8
691,Margaret,Graham,F,4032.7
692,Ashley,Fisher,F,19382.7
693,Eric,Meyer,M,14045.7
694,Peter,Wright,M,13180.2
695,Samuel,Tucker,M,2941.4
696,Edward,Lawson,M,10194.7
697,Debra,Sanders,F,8925.2
698,Eugene,Stevens,M,71.5
699,Wanda,Evans,F,2644.3
700,Jimmy,Fox,M,11728.9
701,Gerald,Wheeler,M,5369.2
702,Phyllis,Arnold,F,2628.9
703,Fred,Williams,M,11354.6
704,Emily,Bennett,F,19100.7
705,Wayne,Daniels,M,13960.1
706,William,Grant,M,14151.3
707,Kelly,Kelley,F,8942.5
708,Fred,Rose,M,12494.8
709,Stephanie,Burton,F,7097.0
710,Cynthia,Jenkins,F,17023.4
711,Ann,Flores,F,11295.8
712,Randy,Johnston,M,16894.8
713,Lisa,Peterson,F,17588.3
714,Todd,Greene,M,18557.9
715,Terry,Ellis,M,7806.0
716,Ralph,Hernandez,M,7542.8
717,Lori,Ward,F,5076.2
718,Tina,Lawrence,F,11957.1
719,Patricia,Gutierrez,F,9046.8
720,Tammy,Andrews,F,9508.4
721,Albert,Hart,M,8647.7
722,Mary,Stanley,F,19259.1
723,Patricia,Bryant,F,17814.7
724,Carolyn,Wilson,F,17452.6
725,Bobby,Hawkins,M,17599.5
726,Stephanie,Bell,F,15094.6
727,Kimberly,Reed,F,13839.6
728,Amanda,Hall,F,18772.8
729,Patrick,Crawford,M,13140.7
730,Jean,Cox,F,19320.6
731,Clarence,Stewart,M,17209.7
732,Donald,Chapman,M,616.0
733,Melissa,Snyder,F,9493.2
734,Brenda,Mason,F,15754.0
735,Lillian,Harrison,F,16378.4
736,Juan,Russell,M,10238.6
737,Nancy,Bishop,F,11570.5
738,Frances,Williamson,F,1225.6
739,Norma,Lewis,F,7391.9
740,Pamela,Henderson,F,18025.1
741,James,Morrison,M,4089.0
742,Bruce,Wallace,M,642.9
743,Patricia,Sullivan,F,11190.2
744,Richard,Willis,M,8882.5
745,Susan,Henry,F,19594.2
746,Barbara,Diaz,F,938.4
747,Carl,Hanson,M,8821.3
748,Steve,Harris,M,10480.5
749,Norma,Simmons,F,14250.9
750,Kathleen,Baker,F,16242.9
751,Chris,Shaw,M,6789.3
752,Richard,Diaz,M,18436.4
753,Jonathan,Fox,M,3573.0
754,Catherine,Richardson,F,15200.5
755,Amanda,Richards,F,16027.1
756,Juan,Shaw,M,17644.3
757,Ashley,Moore,F,6853.2
758,Russell,Hudson,M,1486.3
759,George,Price,M,14126.5
760,Jean,Carter,F,5894.5
761,Gary,Snyder,M,10562.1
762,Jennifer,Parker,F,12206.1
763,Thomas,Campbell,M,14741.7
764,Marie,Garrett,F,9175.9
765,Harry,Fisher,M,3004.6
766,David,Mcdonald,M,18483.7
767,Tina,Armstrong,F,16188.3
768,Louis,Willis,M,17097.9
769,Amy,Weaver,F,12185.5
